,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors,pIC50
5858,CHEMBL3311040,COc1ccc(-c2coc3c4c(ccc3c2=O)OC(C)(C)C=C4)cc1OC,inactive,131170.0,322.36,4.178100000000004,2.0,4.0,3.8821654814562527
5859,CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,intermediate,1600.0,250.34199999999998,2.7597000000000014,0.0,3.0,5.795880017344075
5860,CHEMBL362378,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(O)cc3)c2O)O1,inactive,29560.0,272.34799999999996,2.347200000000001,1.0,3.0,4.5292955702772115
5861,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,active,920.0,351.45000000000005,4.423500000000002,3.0,4.0,6.036212172654444
5862,CHEMBL255231,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,inactive,52400.0,250.34199999999998,2.7597000000000014,0.0,3.0,4.280668713016273
5863,CHEMBL54470,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCNC2N3)cc1,active,110.0,407.55800000000016,5.252100000000005,1.0,4.0,6.958607314841775
5864,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,intermediate,1535.0,407.55800000000016,5.252100000000005,1.0,4.0,5.813891620186794
5865,CHEMBL2152545,CCCCCCCNC(=O)Oc1ccc2c(c1)CN1CCc3ccccc3C1N2C,intermediate,3800.0,462.63800000000026,4.937900000000005,1.0,5.0,5.42021640338319
5866,CHEMBL2152545,CCCCCCCNC(=O)Oc1ccc2c(c1)CN1CCc3ccccc3C1N2C,intermediate,3801.89,462.63800000000026,4.937900000000005,1.0,5.0,5.420000452721523
5867,CHEMBL4583273,CN1c2ccc(OC(=O)NCCCCCCN3CCCC3)cc2CN2CCc3ccccc3C21,active,880.0,476.6650000000003,5.328000000000006,1.0,5.0,6.055517327849832
5868,CHEMBL4583273,CN1c2ccc(OC(=O)NCCCCCCN3CCCC3)cc2CN2CCc3ccccc3C21,active,870.96,476.6650000000003,5.328000000000006,1.0,5.0,6.060001790087838
5869,CHEMBL4553968,CN1c2ccc(OC(=O)NCCCCCCN3CCCCC3)cc2CN2CCc3ccccc3C21,intermediate,1200.0,472.58900000000034,5.823700000000005,2.0,5.0,5.920818753952375
5870,CHEMBL4553968,CN1c2ccc(OC(=O)NCCCCCCN3CCCCC3)cc2CN2CCc3ccccc3C21,intermediate,1230.27,488.63500000000033,6.827200000000006,2.0,4.0,5.90999956608739
5871,CHEMBL4533477,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,active,2.7,701.727,9.065360000000002,1.0,5.0,8.568636235841012
5872,CHEMBL4451843,O=C(NCCCCCNc1c2c(nc3ccccc13)CCCC2)c1c2ccccc2nc2ccccc12,active,0.0076,407.5100000000002,4.193140000000003,1.0,5.0,11.119186407719209
